country,issuing_authority_en,issuing_authority_ar,date_gregorian,title_extracted,source_url,local_filename,sha256,pages_total,retrieved_at_utc
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-09-05,ﷺ الله لوسر ىلع ةلاصلا لضف,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/فضل_الصلاة_على_سيدنا_رسول_الله_صلى_الله_عليه_وسلم_5-9-2025.pdf,pdfs/2025-09-05 - ﷺ الله لوسر ىلع ةلاصلا لضف.pdf,48c9557cecb3908f44796f68851a15d076b674dc861ed9610be5989c93ab61ac,11,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-09-12,اتهرورضو ةنسلا لضف,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/فضل_السنة_وضرورتها_12-9-2025.pdf,pdfs/2025-09-12 - اتهرورضو ةنسلا لضف.pdf,0c9881e34bd6f740cef446f858682770f2d81997da76611785cf7a5d2b40b219,12,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-09-19,ىصقلأا دجسلما,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/المسجد_الأقصى_19-9-2025.pdf,pdfs/2025-09-19 - ىصقلأا دجسلما.pdf,a7ccb4284ff544f7dd5e48741f58e4ffbaa69433f0db4923bc5d5c114cf22501,12,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-09-26,بركلا مذ,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/خطبة_ذم_الكبر_26-9-2025.pdf,pdfs/2025-09-26 - بركلا مذ.pdf,5b31abdc915b6a78a8ff4606b723ae8aeef09f0acd94d68db3edcf5d9b80187e,11,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-10-03,نوطسقلماو طسقلا,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/القسط_والمقسطون_3-10-2025.pdf,pdfs/2025-10-03 - نوطسقلماو طسقلا.pdf,b5233c8f636fcdc6ce4df179ea04ab334edf0be75841f534a5edd2b24815867b,11,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-10-10,ناطيشلاو ةراملأا سفنلا,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/خطبة_النفس_الأمارة_10-10-2025.pdf,pdfs/2025-10-10 - ناطيشلاو ةراملأا سفنلا.pdf,f8789216958dfe92a8c7c6514941dc10a5c1862428579d4e5e322479786edf89,11,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-10-17,ة ِ م َ اوَّ َّللٱ سِ فَّنلٱ,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/النفس_اللوامة-1_17-10-2025.pdf,pdfs/2025-10-17 - ة ِ م َ اوَّ َّللٱ سِ فَّنلٱ.pdf,c133c37962c1b025396e723a23ffe5a3f8da11766de07365dafd19df98be96b1,9,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-10-24,ةلوطبلا زمر ةتؤم ةوزغ,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/غزوة_مؤتة_رمز_البطولة_24-10-2025.pdf,pdfs/2025-10-24 - ةلوطبلا زمر ةتؤم ةوزغ.pdf,39a597514f64d4c6957714e6a78d5a2f89d0c3051c26dbb116cf5b3345b29b33,10,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-10-31,ملعتلاو ملعلا لضف,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/خطبة_الجمعة_فضل_العلم_والتعلم_31-10-2025.pdf,pdfs/2025-10-31 - ملعتلاو ملعلا لضف.pdf,d3e11a46f2a3702543e5870f7634d7edb81226df95f634c61992e61f6da8cff7,10,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-11-14,ناذلآا بونذ,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/سلسلة_الجوارح_ذنوب_الأذن_14-11-2025.pdf,pdfs/2025-11-14 - ناذلآا بونذ.pdf,79b631c97fc51a8a8ccd722f8e97f418150868071913a778b287ce9f02a56f7d,9,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-11-21,نويعلا بونذ,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/سلسلة_الجوارح_ذنوب_العيون_21-11-2025.pdf,pdfs/2025-11-21 - نويعلا بونذ.pdf,10be4800e658e8b35a479751246e526e36192c9d0689b708de552f547b6b071f,10,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-11-28,جرفلاو ةدعلما بونذ,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/سلسلة_الجوارح_ذنوب_المعدة_والفرج-1_28-11-2025.pdf,pdfs/2025-11-28 - جرفلاو ةدعلما بونذ.pdf,e68341057cf09fc3de0f30413981ba4e09b78e25e10afdba506130ee34b5c6c2,10,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-12-05,نيديلا بونذ,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/سلسلة_الجوارح_ذنوب_اليدين_5-12-2025.pdf,pdfs/2025-12-05 - نيديلا بونذ.pdf,166cae67ccc0756856225a55ecb99cc8efc4d4f708b2edb4b8899f6908dc85ad,9,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-12-12,ينمدقلا بونذ,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/سلسلة_الجوارح__ـ_ذنوب_القدمين_12-12-2025.pdf,pdfs/2025-12-12 - ينمدقلا بونذ.pdf,ea0e5f3228644d08ed2fb5c6fb03f136718d1e06cc89844c83b9786fb8fcaf8c,10,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-12-19,بلقلا حلاصإ,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/سلسلة_الجوارح_إصلاح_القلب_19-12-2025.pdf,pdfs/2025-12-19 - بلقلا حلاصإ.pdf,87dae8f06b3fb576b4d3619fa00acf01d331d869eb734ff81bb6a3314c4f88f5,11,2026-02-09T20:28:38Z
Jordan,Ministry of Awqaf and Islamic Affairs and Holy Places (Jordan),وزارة الأوقاف والشؤون والمقدسات الإسلامية - الأردن,2025-12-26,نورهطتلما,https://awqaf.gov.jo/EBV4.0/Root_Storage/AR/Friday_speech/سلسلة_الذين_يحبهم_الله_تعالى_المتطهرون_والنظافة-2_26-12-2025.pdf,pdfs/2025-12-26 - نورهطتلما.pdf,d2a2941c94da777df86e13641901ccb5a42356d2ddecddcf8ab7f3b578aace0d,13,2026-02-09T20:28:38Z
